Rank,Player Team (Bye),POS,Yahoo,Sleeper,RTSports,AVG,Season,pid
15,Patrick Mahomes II KC (10),QB1,14.0,15.0,16.0,15.0,2023,16413
21,Josh Allen BUF (13),QB2,23.0,22.0,15.0,20.0,2023,17298
23,Jalen Hurts PHI (10),QB3,22.0,24.0,22.0,22.7,2023,19275
33,Lamar Jackson BAL (13),QB4,37.0,35.0,31.0,34.3,2023,17233
34,Joe Burrow CIN (7),QB5,39.0,34.0,32.0,35.0,2023,19196
46,Justin Herbert LAC (5),QB6,51.0,46.0,41.0,46.0,2023,18635
47,Justin Fields CHI (13),QB7,49.0,45.0,47.0,47.0,2023,19781
53,Trevor Lawrence JAC (9),QB8,56.0,59.0,53.0,56.0,2023,19780
77,Dak Prescott DAL (7),QB9,67.0,85.0,81.0,77.7,2023,15600
81,Deshaun Watson CLE (5),QB10,83.0,87.0,78.0,82.7,2023,16398
87,Tua Tagovailoa MIA (10),QB11,86.0,94.0,91.0,90.3,2023,19198
100,Aaron Rodgers NYJ (7),QB12,101.0,113.0,107.0,107.0,2023,9001
101,Kirk Cousins MIN (13),QB13,110.0,109.0,102.0,107.0,2023,11177
103,Daniel Jones NYG (13),QB14,107.0,122.0,98.0,109.0,2023,18232
110,Geno Smith SEA (5),QB15,121.0,119.0,108.0,116.0,2023,11687
111,Anthony Richardson IND (11),QB16,131.0,101.0,117.0,116.3,2023,24347
116,Jared Goff DET (9),QB17,144.0,125.0,105.0,124.7,2023,15501
137,Russell Wilson DEN (9),QB18,177.0,141.0,121.0,146.3,2023,11180
140,Bryce Young CAR (7),QB19,142.0,144.0,171.0,152.3,2023,22900
143,Brock Purdy SF (9),QB20,129.0,170.0,168.0,155.7,2023,19797
144,Kenny Pickett PIT (6),QB21,132.0,182.0,156.0,156.7,2023,22722
156,C.J. Stroud HOU (7),QB22,136.0,168.0,184.0,162.7,2023,23071
157,Jordan Love GB (6),QB23,174.0,154.0,160.0,162.7,2023,19246
165,Derek Carr NO (11),QB24,205.0,157.0,139.0,167.0,2023,12092
171,Kyler Murray ARI (14),QB25,202.0,147.0,166.0,171.7,2023,18600
174,Matthew Stafford LAR (10),QB26,210.0,165.0,146.0,173.7,2023,9451
184,Jimmy Garoppolo LV (13),QB27,127.0,229.0,183.0,179.7,2023,12208
188,Mac Jones NE (11),QB28,128.0,240.0,190.0,186.0,2023,20156
208,Trey Lance SF (9),QB29,212.0,226.0,215.0,217.7,2023,20082
219,Ryan Tannehill TEN (7),QB30,,216.0,179.0,197.5,2023,11174
225,Sam Howell WAS (14),QB31,,220.0,185.0,202.5,2023,23045
231,Desmond Ridder ATL (11),QB32,,228.0,199.0,213.5,2023,20080
242,Baker Mayfield TB (5),QB33,,256.0,194.0,225.0,2023,17237
262,Kyle Trask TB (5),QB34,,277.0,223.0,250.0,2023,19800
271,Will Levis TEN (7),QB35,,279.0,238.0,258.5,2023,22987
273,Colt McCoy ARI (14),QB36,,,218.0,218.0,2023,9702
279,Mike White MIA (10),QB37,,,220.0,220.0,2023,17447
282,Gardner Minshew II IND (11),QB38,,,222.0,222.0,2023,18562
329,Ryan Willis,QB39,,294.0,,294.0,2023,23692
331,Jacob Eason,QB40,,295.0,,295.0,2023,19220
334,Drew Plitt,QB41,,298.0,,298.0,2023,24201
