Rank,Player Team (Bye),POS,Yahoo,Sleeper,RTSports,AVG,Season,pid
2,Christian McCaffrey SF (9),RB1,1.0,2.0,2.0,1.7,2023,16393
4,Austin Ekeler LAC (5),RB2,4.0,4.0,4.0,4.0,2023,16483
8,Saquon Barkley NYG (13),RB3,10.0,8.0,7.0,8.3,2023,17240
9,Bijan Robinson ATL (11),RB4,8.0,9.0,9.0,8.7,2023,23133
10,Nick Chubb CLE (5),RB5,11.0,13.0,10.0,11.3,2023,17246
12,Jonathan Taylor IND (11),RB6,9.0,12.0,20.0,13.7,2023,19217
17,Derrick Henry TEN (7),RB7,13.0,17.0,21.0,17.0,2023,15514
18,Tony Pollard DAL (7),RB8,18.0,23.0,14.0,18.3,2023,18705
22,Josh Jacobs LV (13),RB9,19.0,20.0,26.0,21.7,2023,18269
25,Rhamondre Stevenson NE (11),RB10,25.0,25.0,23.0,24.3,2023,22726
26,Najee Harris PIT (6),RB11,28.0,30.0,24.0,27.3,2023,19302
28,Travis Etienne Jr. JAC (9),RB12,26.0,32.0,30.0,29.3,2023,19231
31,Breece Hall NYJ (7),RB13,27.0,27.0,37.0,30.3,2023,22982
36,Kenneth Walker III SEA (5),RB14,35.0,37.0,34.0,35.3,2023,23021
37,Jahmyr Gibbs DET (9),RB15,40.0,36.0,33.0,36.3,2023,22968
38,Joe Mixon CIN (7),RB16,36.0,40.0,39.0,38.3,2023,16420
39,Aaron Jones GB (6),RB17,33.0,41.0,44.0,39.3,2023,16673
44,Dameon Pierce HOU (7),RB18,45.0,53.0,36.0,44.7,2023,22947
48,Miles Sanders CAR (7),RB19,44.0,51.0,48.0,47.7,2023,18283
52,J.K. Dobbins BAL (13),RB20,48.0,50.0,57.0,51.7,2023,19245
54,Cam Akers LAR (10),RB21,50.0,58.0,62.0,56.7,2023,19268
56,Alexander Mattison MIN (13),RB22,60.0,62.0,51.0,57.7,2023,18621
58,James Conner ARI (14),RB23,58.0,63.0,64.0,61.7,2023,16447
61,Dalvin Cook,RB24,62.0,66.0,60.0,62.7,2023,16374
62,Alvin Kamara NO (11),RB25,66.0,47.0,77.0,63.3,2023,16421
65,D'Andre Swift PHI (10),RB26,74.0,64.0,58.0,65.3,2023,19210
69,Javonte Williams DEN (9),RB27,75.0,74.0,52.0,67.0,2023,22739
71,Rachaad White TB (5),RB28,80.0,75.0,54.0,69.7,2023,23891
73,Isiah Pacheco KC (10),RB29,63.0,77.0,71.0,70.3,2023,24333
75,David Montgomery DET (9),RB30,71.0,79.0,76.0,75.3,2023,18239
78,James Cook BUF (13),RB31,87.0,86.0,70.0,81.0,2023,22958
85,AJ Dillon GB (6),RB32,97.0,89.0,79.0,88.3,2023,19358
89,Brian Robinson Jr. WAS (14),RB33,92.0,102.0,86.0,93.3,2023,20094
90,Rashaad Penny PHI (10),RB34,93.0,99.0,93.0,95.0,2023,17308
94,Antonio Gibson WAS (14),RB35,119.0,91.0,84.0,98.0,2023,19624
95,Jamaal Williams NO (11),RB36,100.0,105.0,89.0,98.0,2023,16424
98,Khalil Herbert CHI (13),RB37,103.0,107.0,94.0,101.3,2023,22763
104,Samaje Perine DEN (9),RB38,118.0,106.0,103.0,109.0,2023,16423
106,Damien Harris BUF (13),RB39,105.0,114.0,110.0,109.7,2023,18230
108,Zach Charbonnet SEA (5),RB40,139.0,98.0,109.0,115.3,2023,23152
112,De'Von Achane MIA (10),RB41,161.0,110.0,88.0,119.7,2023,23136
115,Elijah Mitchell SF (9),RB42,126.0,123.0,116.0,121.7,2023,22813
119,Jerick McKinnon KC (10),RB43,143.0,124.0,114.0,127.0,2023,12209
128,Tyler Allgeier ATL (11),RB44,146.0,131.0,131.0,136.0,2023,24172
132,D'Onta Foreman CHI (13),RB45,173.0,137.0,118.0,142.7,2023,16407
136,Devin Singletary HOU (7),RB46,157.0,134.0,141.0,144.0,2023,18280
138,Ezekiel Elliott,RB47,158.0,140.0,147.0,148.3,2023,15498
139,Raheem Mostert MIA (10),RB48,169.0,138.0,140.0,149.0,2023,14338
141,Kendre Miller NO (11),RB49,185.0,130.0,145.0,153.3,2023,24360
147,Jaylen Warren PIT (6),RB50,195.0,151.0,130.0,158.7,2023,24209
152,Tank Bigsby JAC (9),RB51,215.0,146.0,124.0,161.7,2023,22908
155,Roschon Johnson CHI (13),RB52,188.0,149.0,150.0,162.3,2023,25322
159,Chuba Hubbard CAR (7),RB53,162.0,172.0,155.0,163.0,2023,19792
162,Jeff Wilson Jr. MIA (10),RB54,178.0,155.0,161.0,164.7,2023,18026
170,Clyde Edwards-Helaire KC (10),RB55,141.0,178.0,193.0,170.7,2023,19325
172,Kareem Hunt,RB56,194.0,190.0,133.0,172.3,2023,16425
176,Cordarrelle Patterson ATL (11),RB57,137.0,225.0,165.0,175.7,2023,11613
177,Leonard Fournette,RB58,190.0,185.0,154.0,176.3,2023,16378
185,Kenneth Gainwell PHI (10),RB59,200.0,187.0,157.0,181.3,2023,23310
187,Gus Edwards BAL (13),RB60,192.0,180.0,181.0,184.3,2023,17687
195,Zamir White LV (13),RB61,209.0,213.0,189.0,203.7,2023,20095
198,Michael Carter NYJ (7),RB62,183.0,246.0,192.0,207.0,2023,22728
200,Tyjae Spears TEN (7),RB63,,160.0,170.0,165.0,2023,25323
201,Jerome Ford CLE (5),RB64,,167.0,163.0,165.0,2023,22921
213,Chase Brown CIN (7),RB65,,173.0,200.0,186.5,2023,25324
246,Joshua Kelley LAC (5),RB66,,265.0,191.0,228.0,2023,19445
250,Ty Chandler MIN (13),RB67,,221.0,246.0,233.5,2023,19471
251,Deuce Vaughn DAL (7),RB68,,227.0,244.0,235.5,2023,22984
253,Zach Evans LAR (10),RB69,,238.0,235.0,236.5,2023,23122
260,Pierre Strong Jr. NE (11),RB70,,242.0,254.0,248.0,2023,24173
268,Chase Edmonds TB (5),RB71,,289.0,225.0,257.0,2023,17496
