Rank,Player Team (Bye),POS,Yahoo,Sleeper,RTSports,AVG,Season,pid
6,Travis Kelce KC (10),TE1,5.0,6.0,6.0,5.7,2023,11594
27,Mark Andrews BAL (13),TE2,29.0,26.0,29.0,28.0,2023,17269
41,T.J. Hockenson MIN (13),TE3,38.0,44.0,45.0,42.3,2023,18290
49,George Kittle SF (9),TE4,42.0,52.0,55.0,49.7,2023,16499
60,Kyle Pitts ATL (11),TE5,59.0,60.0,69.0,62.7,2023,20164
63,Dallas Goedert PHI (10),TE6,52.0,65.0,73.0,63.3,2023,17270
66,Darren Waller NYG (13),TE7,61.0,70.0,66.0,65.7,2023,14104
80,Evan Engram JAC (9),TE8,70.0,88.0,87.0,81.7,2023,16411
86,Pat Freiermuth PIT (6),TE9,79.0,92.0,95.0,88.7,2023,20163
93,David Njoku CLE (5),TE10,94.0,96.0,100.0,96.7,2023,16399
117,Chigoziem Okonkwo TEN (7),TE11,134.0,117.0,126.0,125.7,2023,23982
122,Dalton Schultz HOU (7),TE12,147.0,116.0,122.0,128.3,2023,17349
123,Greg Dulcich DEN (9),TE13,122.0,129.0,135.0,128.7,2023,23153
124,Cole Kmet CHI (13),TE14,130.0,126.0,134.0,130.0,2023,19229
127,Dalton Kincaid BUF (13),TE15,172.0,118.0,115.0,135.0,2023,25247
150,Tyler Higbee LAR (10),TE16,206.0,136.0,137.0,159.7,2023,15623
153,Sam LaPorta DET (9),TE17,197.0,145.0,143.0,161.7,2023,22978
168,Taysom Hill NO (11),TE18,151.0,162.0,197.0,170.0,2023,17115
175,Irv Smith Jr. CIN (7),TE19,186.0,174.0,164.0,174.7,2023,18610
178,Gerald Everett LAC (5),TE20,208.0,148.0,174.0,176.7,2023,16459
180,Michael Mayer LV (13),TE21,207.0,159.0,167.0,177.7,2023,23056
183,Juwan Johnson NO (11),TE22,203.0,166.0,169.0,179.3,2023,19562
190,Mike Gesicki NE (11),TE23,196.0,186.0,182.0,188.0,2023,17272
191,Dawson Knox BUF (13),TE24,149.0,176.0,240.0,188.3,2023,18631
192,Hunter Henry NE (11),TE25,154.0,258.0,195.0,202.3,2023,15561
194,Hayden Hurst CAR (7),TE26,171.0,231.0,209.0,203.7,2023,17283
197,Zach Ertz ARI (14),TE27,163.0,232.0,224.0,206.3,2023,11689
203,Jake Ferguson DAL (7),TE28,153.0,234.0,245.0,210.7,2023,22718
206,Tyler Conklin NYJ (7),TE29,155.0,239.0,249.0,214.3,2023,17598
238,Luke Musgrave GB (6),TE30,,222.0,219.0,220.5,2023,25282
248,Trey McBride ARI (14),TE31,,192.0,272.0,232.0,2023,22936
252,Isaiah Likely BAL (13),TE32,,236.0,236.0,236.0,2023,23781
263,Jelani Woods IND (11),TE33,,230.0,273.0,251.5,2023,23829
264,Noah Fant SEA (5),TE34,,247.0,256.0,251.5,2023,17527
272,Logan Thomas WAS (14),TE35,,257.0,260.0,258.5,2023,12095
276,Cade Otton TB (5),TE36,,241.0,277.0,259.0,2023,23181
298,Darnell Washington PIT (6),TE37,,278.0,268.0,273.0,2023,22967
312,Luke Schoonmaker DAL (7),TE38,,290.0,274.0,282.0,2023,25267
321,Daniel Bellinger NYG (13),TE39,,284.0,,284.0,2023,24238
333,Griffin Hebert SEA (5),TE40,,297.0,,297.0,2023,25681
336,DeShon Williams,TE41,,299.0,,299.0,2023,23580
337,Mark Vital Jr.,TE42,,300.0,,300.0,2023,23568
