Rank,Player Team (Bye),POS,Yahoo,Sleeper,RTSports,AVG,Season,pid
1,Justin Jefferson MIN (13),WR1,1.0,1.0,1.0,1.0,2023,19236
3,Ja'Marr Chase CIN (7),WR2,3.0,3.0,3.0,3.0,2023,19788
6,Tyreek Hill MIA (10),WR3,7.0,6.0,5.0,6.0,2023,15802
7,Cooper Kupp LAR (10),WR4,6.0,7.0,8.0,7.0,2023,16433
11,Stefon Diggs BUF (13),WR5,11.0,10.0,12.0,11.0,2023,13981
12,CeeDee Lamb DAL (7),WR6,16.0,13.0,11.0,13.3,2023,19202
13,A.J. Brown PHI (10),WR7,17.0,11.0,14.0,14.0,2023,18218
18,Davante Adams LV (13),WR8,18.0,17.0,19.0,18.0,2023,12123
19,Amon-Ra St. Brown DET (9),WR9,20.0,18.0,18.0,18.7,2023,19799
20,Garrett Wilson NYJ (7),WR10,21.0,20.0,17.0,19.3,2023,23072
24,Jaylen Waddle MIA (10),WR11,24.0,22.0,26.0,24.0,2023,19790
27,DeVonta Smith PHI (10),WR12,29.0,31.0,22.0,27.3,2023,19222
28,Chris Olave NO (11),WR13,30.0,27.0,25.0,27.3,2023,20111
31,Tee Higgins CIN (7),WR14,32.0,28.0,36.0,32.0,2023,19211
36,DK Metcalf SEA (5),WR15,35.0,33.0,40.0,36.0,2023,18219
39,Deebo Samuel SF (9),WR16,40.0,37.0,41.0,39.3,2023,18244
41,Calvin Ridley JAC (9),WR17,44.0,42.0,34.0,40.0,2023,17258
42,Amari Cooper CLE (5),WR18,42.0,43.0,42.0,42.3,2023,13894
45,Keenan Allen LAC (5),WR19,45.0,40.0,48.0,44.3,2023,11616
50,Terry McLaurin WAS (14),WR20,58.0,49.0,45.0,50.7,2023,18466
51,DeAndre Hopkins TEN (7),WR21,56.0,47.0,50.0,51.0,2023,11606
53,DJ Moore CHI (13),WR22,54.0,53.0,56.0,54.3,2023,17265
57,Jerry Jeudy DEN (9),WR23,64.0,54.0,55.0,57.7,2023,19201
59,Drake London ATL (11),WR24,62.0,55.0,70.0,62.3,2023,23163
62,Christian Watson GB (6),WR25,77.0,56.0,58.0,63.7,2023,23886
64,Chris Godwin TB (5),WR26,69.0,61.0,69.0,66.3,2023,16406
67,Tyler Lockett SEA (5),WR27,57.0,70.0,75.0,67.3,2023,13971
69,Brandon Aiyuk SF (9),WR28,65.0,67.0,71.0,67.7,2023,19252
71,Mike Williams LAC (5),WR29,80.0,68.0,60.0,69.3,2023,16377
74,Christian Kirk JAC (9),WR30,87.0,72.0,64.0,74.3,2023,17268
77,Michael Pittman Jr. IND (11),WR31,82.0,73.0,76.0,77.0,2023,19278
79,Mike Evans TB (5),WR32,84.0,77.0,83.0,81.3,2023,12119
81,Diontae Johnson PIT (6),WR33,89.0,79.0,79.0,82.3,2023,18615
83,George Pickens PIT (6),WR34,95.0,81.0,77.0,84.3,2023,22963
84,Marquise Brown ARI (14),WR35,99.0,71.0,85.0,85.0,2023,18226
88,Jaxon Smith-Njigba SEA (5),WR36,109.0,80.0,88.0,92.3,2023,23070
89,Jordan Addison MIN (13),WR37,110.0,82.0,90.0,94.0,2023,23107
91,Jahan Dotson WAS (14),WR38,106.0,85.0,94.0,95.0,2023,23101
97,Brandin Cooks DAL (7),WR39,111.0,95.0,98.0,101.3,2023,12122
98,Gabe Davis BUF (13),WR40,104.0,97.0,103.0,101.3,2023,19398
100,Treylon Burks TEN (7),WR41,122.0,90.0,106.0,106.0,2023,22905
102,Michael Thomas NO (11),WR42,112.0,100.0,108.0,106.7,2023,15528
107,Kadarius Toney KC (10),WR43,125.0,92.0,123.0,113.3,2023,20119
108,Odell Beckham Jr. BAL (13),WR44,114.0,117.0,111.0,114.0,2023,12127
112,Elijah Moore CLE (5),WR45,126.0,112.0,113.0,117.0,2023,20114
113,Courtland Sutton DEN (9),WR46,158.0,110.0,95.0,121.0,2023,17253
118,Zay Flowers BAL (13),WR47,155.0,102.0,118.0,125.0,2023,22916
119,JuJu Smith-Schuster NE (11),WR48,163.0,105.0,110.0,126.0,2023,16427
123,Quentin Johnston LAC (5),WR49,172.0,96.0,122.0,130.0,2023,23123
129,Allen Lazard NYJ (7),WR50,157.0,119.0,129.0,135.0,2023,17301
132,Skyy Moore KC (10),WR51,165.0,126.0,120.0,137.0,2023,23905
133,Jameson Williams DET (9),WR52,161.0,113.0,138.0,137.3,2023,23677
135,Rashod Bateman BAL (13),WR53,164.0,115.0,154.0,144.3,2023,19794
136,Adam Thielen CAR (7),WR54,181.0,125.0,127.0,144.3,2023,13429
147,Romeo Doubs GB (6),WR55,184.0,149.0,124.0,152.3,2023,23794
154,Tyler Boyd CIN (7),WR56,187.0,129.0,164.0,160.0,2023,15547
156,Jalin Hyatt NYG (13),WR57,159.0,171.0,156.0,162.0,2023,25251
157,Jakobi Meyers LV (13),WR58,207.0,128.0,152.0,162.3,2023,18598
168,Darnell Mooney CHI (13),WR59,212.0,143.0,160.0,171.7,2023,19810
169,Nico Collins HOU (7),WR60,201.0,167.0,148.0,172.0,2023,20130
171,Donovan Peoples-Jones CLE (5),WR61,171.0,212.0,134.0,172.3,2023,19298
176,Michael Gallup DAL (7),WR62,141.0,174.0,217.0,177.3,2023,17259
179,Zay Jones JAC (9),WR63,202.0,170.0,169.0,180.3,2023,16431
183,DJ Chark Jr. CAR (7),WR64,176.0,177.0,196.0,183.0,2023,17292
184,Rashee Rice KC (10),WR65,223.0,142.0,187.0,184.0,2023,23113
197,Rondale Moore ARI (14),WR66,,154.0,141.0,147.5,2023,19796
213,Jonathan Mingo CAR (7),WR67,,151.0,206.0,178.5,2023,23030
214,K.J. Osborn MIN (13),WR68,,205.0,155.0,180.0,2023,19708
215,Tank Dell HOU (7),WR69,,194.0,185.0,189.5,2023,25361
216,Alec Pierce IND (11),WR70,,198.0,183.0,190.5,2023,23791
226,John Metchie III HOU (7),WR71,,201.0,212.0,206.5,2023,22895
227,Van Jefferson LAR (10),WR72,,197.0,218.0,207.5,2023,19483
230,Parris Campbell NYG (13),WR73,,228.0,188.0,208.0,2023,18463
231,Justyn Ross KC (10),WR74,,191.0,227.0,209.0,2023,19798
232,Marvin Mims Jr. DEN (9),WR75,,208.0,214.0,211.0,2023,23080
233,Marquez Valdes-Scantling KC (10),WR76,,216.0,207.0,211.5,2023,17528
237,Jayden Reed GB (6),WR77,,210.0,231.0,220.5,2023,23020
239,Isaiah Hodgins NYG (13),WR78,,233.0,210.0,221.5,2023,19375
240,Rashid Shaheed NO (11),WR79,,213.0,233.0,223.0,2023,24687
244,Hunter Renfrow LV (13),WR80,,217.0,240.0,228.5,2023,18345
245,Curtis Samuel WAS (14),WR81,,220.0,237.0,228.5,2023,16434
252,Wan'Dale Robinson NYG (13),WR82,,240.0,228.0,234.0,2023,22985
255,Mecole Hardman Jr. NYJ (7),WR83,,250.0,250.0,250.0,2023,18587
256,Chase Claypool CHI (13),WR84,,247.0,254.0,250.5,2023,18627
257,Cole Beasley NYG (13),WR85,,,203.0,203.0,2023,11459
263,Josh Downs IND (11),WR86,,219.0,292.0,255.5,2023,24706
268,Darius Slayton NYG (13),WR87,,268.0,249.0,258.5,2023,18706
269,Richie James Jr. KC (10),WR88,,267.0,251.0,259.0,2023,17303
271,Robert Woods HOU (7),WR89,,246.0,273.0,259.5,2023,11610
272,Sterling Shepard NYG (13),WR90,,,223.0,223.0,2023,15569
273,DeVante Parker NE (11),WR91,,227.0,296.0,261.5,2023,13897
277,Puka Nacua LAR (10),WR92,,230.0,318.0,274.0,2023,23180
284,Joshua Palmer LAC (5),WR93,,275.0,259.0,267.0,2023,22845
293,Michael Wilson ARI (14),WR94,,263.0,282.0,272.5,2023,25333
297,Allen Robinson II PIT (6),WR95,,276.0,271.0,273.5,2023,12126
300,Khalil Shakir BUF (13),WR96,,251.0,316.0,283.5,2023,23748
303,Tyquan Thornton NE (11),WR97,,258.0,299.0,278.5,2023,22913
304,Terrace Marshall Jr. CAR (7),WR98,,274.0,284.0,279.0,2023,23242
305,Mack Hollins ATL (11),WR99,,,262.0,262.0,2023,16489
312,Marvin Jones Jr. DET (9),WR100,,270.0,323.0,296.5,2023,11215
319,Jalen Wayne CLE (5),WR101,,280.0,,280.0,2023,25338
320,Calvin Austin III PIT (6),WR102,,,281.0,281.0,2023,23739
321,Ed Lee,WR103,,281.0,,281.0,2023,25960
324,Matt Landers SEA (5),WR104,,284.0,,284.0,2023,25460
325,Jaray Jenkins JAC (9),WR105,,285.0,,285.0,2023,25341
326,Jalen Sample,WR106,,286.0,,286.0,2023,25632
328,Keytaon Thompson,WR107,,287.0,,287.0,2023,24071
329,Aron Cruickshank,WR108,,288.0,,288.0,2023,25721
337,Braxton Westfield,WR109,,295.0,,295.0,2023,25752
343,Corey Davis NYJ (7),WR110,,,302.0,302.0,2023,16385
345,Jarvis Landry,WR111,,,307.0,307.0,2023,12128
349,Cedric Tillman CLE (5),WR112,,,312.0,312.0,2023,25287
360,Trey Palmer TB (5),WR113,,,330.0,330.0,2023,25331
