pid,Player,Season,AVG,FPTS_TG,ATT_RUSHING_avg,YDS_RUSHING_avg,TD_RUSHING_avg,REC_RECEIVING_avg,TGT_RECEIVING_avg,YDS_RECEIVING_avg,TD_RECEIVING_avg,FL_MISC_avg,G_MISC_avg,FPTS/G_MISC_avg,FPTS_MISC_avg,ATT_RUSHING/G_avg,YDS_RUSHING/G_avg,TD_RUSHING/G_avg,REC_RECEIVING/G_avg,TGT_RECEIVING/G_avg,YDS_RECEIVING/G_avg,TD_RECEIVING/G_avg,FL_MISC/G_avg,YDS/ATT_RUSHING_avg,TD/ATT_RUSHING_avg,YDS/REC_RECEIVING_avg,YDS/TGT_RECEIVING_avg,REC/TGT_RECEIVING_avg,TD/TGT_RECEIVING_avg,ATT_RUSHING_ewm,YDS_RUSHING_ewm,TD_RUSHING_ewm,REC_RECEIVING_ewm,TGT_RECEIVING_ewm,YDS_RECEIVING_ewm,TD_RECEIVING_ewm,FL_MISC_ewm,G_MISC_ewm,FPTS/G_MISC_ewm,FPTS_MISC_ewm,ATT_RUSHING/G_ewm,YDS_RUSHING/G_ewm,TD_RUSHING/G_ewm,REC_RECEIVING/G_ewm,TGT_RECEIVING/G_ewm,YDS_RECEIVING/G_ewm,TD_RECEIVING/G_ewm,FL_MISC/G_ewm,YDS/ATT_RUSHING_ewm,TD/ATT_RUSHING_ewm,YDS/REC_RECEIVING_ewm,YDS/TGT_RECEIVING_ewm,REC/TGT_RECEIVING_ewm,TD/TGT_RECEIVING_ewm,ATT_RUSHING_ls,YDS_RUSHING_ls,TD_RUSHING_ls,REC_RECEIVING_ls,TGT_RECEIVING_ls,YDS_RECEIVING_ls,TD_RECEIVING_ls,FL_MISC_ls,G_MISC_ls,FPTS/G_MISC_ls,FPTS_MISC_ls,ATT_RUSHING/G_ls,YDS_RUSHING/G_ls,TD_RUSHING/G_ls,REC_RECEIVING/G_ls,TGT_RECEIVING/G_ls,YDS_RECEIVING/G_ls,TD_RECEIVING/G_ls,FL_MISC/G_ls,YDS/ATT_RUSHING_ls,TD/ATT_RUSHING_ls,YDS/REC_RECEIVING_ls,YDS/TGT_RECEIVING_ls,REC/TGT_RECEIVING_ls,TD/TGT_RECEIVING_ls,Rookie,Career_Years
13912,Todd Gurley II (FA),2018,1.0,342.6,262.0,1098.6666666666667,9.666666666666666,42.666666666666664,57.0,434.3333333333333,2.0,1.3333333333333333,14.666666666666666,16.53333333333333,242.0333333333333,17.86346153846154,75.79647435897436,0.6702991452991452,2.8565170940170943,3.8083333333333336,29.144123931623927,0.13333333333333333,0.09091880341880343,4.230188971797629,0.037281946054181676,9.623177371723884,7.308723843206603,0.7615679339817271,0.022988505747126436,267.35257677593364,1125.3599157603066,10.077736553897756,47.530818393219725,63.89006391118564,504.38154009455235,2.7184910359318373,1.4530818393219729,14.86729540169507,17.569686670168608,260.6560648263616,17.984482205011005,76.41239056053986,0.6870746386868332,3.160113732715821,4.242324006076188,33.62573937845639,0.18123273572878915,0.09786071406246807,4.2332831233252355,0.03791857347514148,10.043007919191583,7.548105641332447,0.7537979991326094,0.03124702340151537,279.0,1305.0,13.0,64.0,87.0,788.0,6.0,2.0,15.0,23.4,351.3,18.6,87.0,0.8666666666666667,4.266666666666667,5.8,52.53333333333333,0.4,0.13333333333333333,4.67741935483871,0.04659498207885305,12.3125,9.057471264367816,0.735632183908046,0.06896551724137931,0,3
17240,Saquon Barkley (NYG),2018,6.5,340.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
16393,Christian McCaffrey (SF),2018,15.0,332.0,117.0,435.0,2.0,80.0,113.0,651.0,5.0,1.0,16.0,11.8,188.6,7.3125,27.1875,0.125,5.0,7.0625,40.6875,0.3125,0.0625,3.717948717948718,0.017094017094017096,8.1375,5.761061946902655,0.7079646017699115,0.04424778761061947,117.0,435.0,2.0,80.0,113.0,651.0,5.0,1.0,16.0,11.8,188.6,7.3125,27.1875,0.125,5.0,7.0625,40.6875,0.3125,0.0625,3.717948717948718,0.017094017094017096,8.1375,5.761061946902655,0.7079646017699115,0.04424778761061947,117.0,435.0,2.0,80.0,113.0,651.0,5.0,1.0,16.0,11.8,188.6,7.3125,27.1875,0.125,5.0,7.0625,40.6875,0.3125,0.0625,3.717948717948718,0.017094017094017096,8.1375,5.761061946902655,0.7079646017699115,0.04424778761061947,0,1
16421,Alvin Kamara (NO),2018,6.5,313.7,120.0,728.0,8.0,81.0,100.0,826.0,5.0,1.0,16.0,17.1,273.9,7.5,45.5,0.5,5.0625,6.25,51.625,0.3125,0.0625,6.066666666666666,0.06666666666666667,10.197530864197532,8.26,0.81,0.05,120.0,728.0,8.0,81.0,100.0,826.0,5.0,1.0,16.0,17.1,273.9,7.5,45.5,0.5,5.0625,6.25,51.625,0.3125,0.0625,6.066666666666666,0.06666666666666667,10.197530864197532,8.26,0.81,0.05,120.0,728.0,8.0,81.0,100.0,826.0,5.0,1.0,16.0,17.1,273.9,7.5,45.5,0.5,5.0625,6.25,51.625,0.3125,0.0625,6.066666666666666,0.06666666666666667,10.197530864197532,8.26,0.81,0.05,0,1
15498,Ezekiel Elliott (FA),2018,3.5,290.6,282.0,1307.0,11.0,29.0,39.0,316.0,1.5,1.0,12.5,19.8,249.79999999999998,22.833333333333332,103.51666666666667,0.85,2.3666666666666667,3.2333333333333334,25.549999999999997,0.13333333333333333,0.08333333333333334,4.563600431189364,0.03775473538319388,10.844951923076923,8.076973684210525,0.7421052631578948,0.038815789473684206,275.1370849898476,1251.4103884177657,10.313708498984761,28.48528137423857,38.82842712474619,307.936074863071,1.585786437626905,1.0,12.071067811865476,19.662741699796953,239.5742566348729,23.067816262846872,102.62162816742597,0.8242640687119286,2.406700337559222,3.3305579626438253,25.781623381592645,0.14477152501692067,0.08619288125423018,4.477536567066361,0.036239898642592513,10.759371702848162,7.905739439631559,0.7321720966958322,0.041186204197585535,242.0,983.0,7.0,26.0,38.0,269.0,2.0,1.0,10.0,19.0,190.2,24.2,98.3,0.7,2.6,3.8,26.9,0.2,0.1,4.06198347107438,0.028925619834710745,10.346153846153847,7.078947368421052,0.6842105263157895,0.05263157894736842,0,2
16447,James Conner (ARI),2018,189.5,252.2,32.0,144.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,14.4,2.2857142857142856,10.285714285714286,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,4.5,0.0,,0.0,0.0,0.0,32.0,144.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,14.4,2.2857142857142856,10.285714285714286,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,4.5,0.0,,0.0,0.0,0.0,32.0,144.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,14.4,2.2857142857142856,10.285714285714286,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,4.5,0.0,,0.0,0.0,0.0,0,1
13903,Melvin Gordon III (BAL),2018,10.0,250.5,240.66666666666666,914.3333333333334,6.0,44.0,59.0,362.3333333333333,2.0,2.0,14.333333333333334,13.5,193.66666666666666,16.810439560439562,63.846840659340664,0.4230769230769231,3.04532967032967,4.071657509157509,25.23168498168498,0.1346153846153846,0.14652014652014653,3.766579190996717,0.02251303094155484,8.081530188342636,6.09166871373593,0.7699951060762729,0.02776016346086099,251.73459080339018,965.2842712474619,6.828427124746191,46.89006391118565,64.24930942915157,393.40087607830856,2.453081839321973,1.546918160678027,14.585786437626906,14.505773032780091,211.9087641512228,17.279275993490714,66.23377229548615,0.47298495121255624,3.1868315075330558,4.353808309002146,26.912036540047286,0.16255926614080718,0.11401478335631009,3.809614595264243,0.025376145918690314,8.310551166239241,6.129014499781385,0.7491082026168466,0.03307657606726666,284.0,1105.0,8.0,58.0,83.0,476.0,4.0,0.0,16.0,16.2,259.1,17.75,69.0625,0.5,3.625,5.1875,29.75,0.25,0.0,3.890845070422535,0.028169014084507043,8.206896551724139,5.734939759036145,0.6987951807228916,0.04819277108433735,0,3
12195,James White (FA),2018,130.0,233.1,34.666666666666664,131.0,0.6666666666666666,52.0,70.66666666666667,463.3333333333333,4.0,0.0,14.666666666666666,7.7,113.43333333333332,2.3601190476190474,8.863095238095239,0.047619047619047616,3.535714285714286,4.791666666666667,31.455357142857142,0.2708333333333333,0.0,3.5928696626371046,0.030303030303030304,9.031349206349207,6.652634223370657,0.7387309790410566,0.05796009187482055,36.96113172305112,143.34590803390137,0.4530818393219729,53.65685424949238,72.4075448203408,463.78174593052023,3.8672954016950682,0.0,14.640754482034085,7.724264068711928,113.4634559672906,2.5285209052209323,9.76414859162841,0.032362988522998064,3.6610017815617555,4.925963534243402,31.55112596110511,0.2619328304328155,0.0,3.742097158594779,0.02059462906008968,8.735105942289811,6.472295067059876,0.7437240801378061,0.054285802615586146,43.0,171.0,0.0,56.0,72.0,429.0,3.0,0.0,14.0,7.6,106.0,3.0714285714285716,12.214285714285714,0.0,4.0,5.142857142857143,30.642857142857142,0.21428571428571427,0.0,3.9767441860465116,0.0,7.660714285714286,5.958333333333333,0.7777777777777778,0.041666666666666664,0,3
16420,Joe Mixon (CIN),2018,23.5,221.9,178.0,626.0,4.0,30.0,34.0,287.0,0.0,2.0,14.0,9.0,126.3,12.714285714285714,44.714285714285715,0.2857142857142857,2.142857142857143,2.4285714285714284,20.5,0.0,0.14285714285714285,3.5168539325842696,0.02247191011235955,9.566666666666666,8.441176470588236,0.8823529411764706,0.0,178.0,626.0,4.0,30.0,34.0,287.0,0.0,2.0,14.0,9.0,126.3,12.714285714285714,44.714285714285715,0.2857142857142857,2.142857142857143,2.4285714285714284,20.5,0.0,0.14285714285714285,3.5168539325842696,0.02247191011235955,9.566666666666666,8.441176470588236,0.8823529411764706,0.0,178.0,626.0,4.0,30.0,34.0,287.0,0.0,2.0,14.0,9.0,126.3,12.714285714285714,44.714285714285715,0.2857142857142857,2.142857142857143,2.4285714285714284,20.5,0.0,0.14285714285714285,3.5168539325842696,0.02247191011235955,9.566666666666666,8.441176470588236,0.8823529411764706,0.0,0,1
13948,David Johnson (FA),2018,3.5,221.6,143.0,614.3333333333334,8.0,40.666666666666664,62.0,467.6666666666667,2.6666666666666665,1.6666666666666667,11.0,15.0,189.86666666666667,12.375,45.583333333333336,0.5,4.416666666666667,6.6875,50.166666666666664,0.16666666666666666,0.4166666666666667,3.6558593442962035,0.03953583617747441,11.616203703703704,7.59566276803119,0.6549707602339181,0.03450292397660818,127.17204680815796,538.9885582475521,6.938363213560543,36.50414342509061,55.43583789661887,415.4972783736218,2.1876726427121085,1.6407544820340816,9.203772410170407,14.617985972543504,165.81611603026454,12.620659393517718,43.45636205085204,0.43364770084753396,4.83009431025426,7.2876178878178255,54.42778293076278,0.13672954016950678,0.5273113794914797,3.355084420154238,0.03199362178073539,11.455369927133177,7.5360076314561635,0.6587178624680357,0.0265768497644969,11.0,23.0,0.0,6.0,9.0,67.0,0.0,1.0,1.0,10.0,10.0,11.0,23.0,0.0,6.0,9.0,67.0,0.0,1.0,2.090909090909091,0.0,11.166666666666666,7.444444444444445,0.6666666666666666,0.0,0,3
