Player,ATT_RUSHING,YDS_RUSHING,TDS_RUSHING,REC_RECEIVING,YDS_RECEIVING,TDS_RECEIVING,FL_MISC,FPTS_MISC_proj,Season,pid,FPTS_MISC_real,FPTS/G_MISC
Christian McCaffrey SF,249.0,1121.0,8.5,100.3,833.5,4.3,1.8,318.9,2020,16393,81.9,27.3
Saquon Barkley NYG,269.3,1218.8,8.9,64.9,523.8,2.6,1.3,273.2,2020,17240,12.4,6.2
Alvin Kamara NO,199.8,915.2,7.9,82.7,607.0,2.9,1.6,255.6,2020,16421,336.3,22.4
Derrick Henry TEN,296.8,1462.4,12.0,22.3,189.7,1.1,2.0,250.5,2020,15514,323.6,20.2
Clyde Edwards-Helaire KC,207.8,938.0,8.2,51.7,454.3,3.2,1.9,229.8,2020,19325,158.0,12.2
Miles Sanders CAR,237.7,1056.2,6.3,49.9,442.5,2.3,1.8,222.8,2020,18283,156.4,13.0
Joe Mixon CIN,273.0,1183.4,7.5,39.6,305.4,1.7,1.5,220.6,2020,16420,89.1,14.9
Kenyan Drake IND,206.9,957.1,7.5,54.5,413.8,2.2,1.5,219.3,2020,15637,179.7,12.0
Aaron Jones GB,210.3,953.4,9.3,43.6,356.4,2.1,1.4,218.4,2020,16673,235.4,16.8
Josh Jacobs LV,269.6,1215.1,9.2,30.9,239.8,0.9,1.7,218.0,2020,18269,214.8,14.3
Austin Ekeler LAC,164.0,709.7,4.5,66.0,654.6,3.9,1.3,217.2,2020,16483,138.3,13.8
Nick Chubb CLE,276.6,1264.7,9.1,25.2,195.4,1.1,1.8,216.0,2020,17246,199.7,16.6
James Conner ARI,221.2,926.9,6.5,41.3,332.2,1.9,1.9,193.5,2020,16447,147.1,11.3
Melvin Gordon III BAL,194.7,790.0,6.5,43.4,348.4,1.7,1.3,182.0,2020,13903,182.4,12.2
Jonathan Taylor IND,203.2,861.2,6.7,24.4,207.9,1.1,1.7,162.7,2020,19217,234.8,15.7
Antonio Gibson WAS,148.8,636.9,4.0,47.6,390.5,1.9,1.5,158.6,2020,19624,184.2,13.2
Devin Singletary HOU,165.0,805.5,3.7,34.8,277.6,1.5,1.6,153.8,2020,18280,124.6,7.8
Raheem Mostert MIA,167.0,825.2,7.1,18.5,153.1,1.0,1.8,152.1,2020,14338,91.7,11.5
Cam Akers LAR,188.2,721.7,6.1,29.6,238.0,1.0,1.6,150.1,2020,19268,96.3,8.0
David Montgomery DET,203.2,796.9,5.5,20.5,158.4,0.8,1.5,140.3,2020,18239,237.8,15.9
Ronald Jones II DAL,145.7,650.0,4.8,28.3,231.9,0.9,1.3,134.0,2020,17243,172.3,12.3
Marlon Mack ARI,169.9,758.5,5.8,14.3,101.1,0.6,0.9,129.2,2020,16444,7.1,7.1
D'Andre Swift PHI,144.4,573.4,3.5,32.6,281.1,1.4,1.4,128.2,2020,19210,166.8,12.8
Matt Breida NYG,135.9,568.6,2.7,33.0,246.8,1.5,1.3,120.7,2020,17058,37.5,3.1
Zack Moss IND,154.1,645.6,4.2,19.6,155.1,0.7,1.5,116.5,2020,19263,94.6,7.3
J.K. Dobbins BAL,150.1,643.2,4.2,17.9,142.6,0.8,1.4,114.5,2020,19245,159.5,10.6
Latavius Murray BUF,134.8,539.7,4.8,22.2,156.1,0.6,0.8,111.6,2020,11821,124.7,8.3
Boston Scott PHI,98.3,396.4,3.8,28.0,223.2,0.6,1.0,100.1,2020,17612,83.1,5.2
Tony Pollard DAL,92.8,421.7,2.6,25.4,192.3,1.3,1.1,95.7,2020,18705,106.8,6.7
Nyheim Hines BUF,49.1,196.4,1.5,42.6,326.9,1.5,0.5,91.2,2020,17297,161.7,10.1
Alexander Mattison MIN,124.9,537.6,3.2,13.3,104.3,0.4,1.2,90.3,2020,18621,80.4,6.2
Jerick McKinnon KC,92.9,377.0,2.8,21.4,174.8,0.7,0.9,84.9,2020,12209,109.7,6.9
Darrynton Evans BUF,80.4,348.7,2.3,22.2,189.5,1.0,1.0,82.4,2020,19418,15.1,3.0
Chase Edmonds TB,90.5,363.0,2.8,18.1,135.0,0.8,0.5,79.4,2020,17496,141.5,8.8
James Robinson NYG,109.4,416.6,2.4,16.4,135.9,0.5,1.0,79.1,2020,19631,225.9,16.1
Jamaal Williams NO,71.3,278.8,1.5,27.1,205.9,1.3,0.4,78.3,2020,16424,111.6,8.0
Joshua Kelley LAC,109.2,396.4,3.4,9.6,73.9,0.3,0.9,71.8,2020,19445,69.7,5.0
Damien Harris BUF,102.7,374.1,3.0,9.8,78.2,0.2,0.9,67.6,2020,18230,88.8,8.9
AJ Dillon GB,97.5,372.9,3.1,8.6,62.1,0.2,0.9,66.0,2020,19358,39.3,3.6
Rashaad Penny PHI,56.3,254.9,1.5,9.8,80.1,0.4,0.7,48.3,2020,17308,3.4,1.1
Myles Gaskin MIA,13.6,185.8,1.2,13.4,102.5,0.4,0.3,44.7,2020,17251,143.7,14.4
Anthony McFarland Jr. PIT,42.4,165.4,1.0,14.6,116.1,0.7,0.5,44.6,2020,19366,19.7,1.8
Kyle Juszczyk SF,8.6,24.4,0.2,21.8,213.4,1.3,0.4,42.6,2020,11798,72.1,4.5
Gus Edwards BAL,54.6,279.2,1.6,3.6,28.0,0.1,0.5,41.6,2020,17687,123.7,7.7
La'Mical Perine KC,38.9,170.2,1.1,11.9,87.9,0.4,0.3,39.9,2020,19333,47.0,4.7
Royce Freeman LAR,39.7,161.6,0.9,15.2,95.6,0.2,0.4,39.2,2020,17245,31.1,1.9
DeeJay Dallas SEA,30.6,121.5,0.8,9.4,83.0,0.4,0.4,31.2,2020,19521,48.4,4.0
Corey Clement ARI,34.9,131.2,1.0,6.6,49.3,0.1,0.4,27.3,2020,16446,18.5,1.2
