Rank_x,Player,REC_RECEIVING,TGT_RECEIVING,YDS_RECEIVING,Y/R_RECEIVING,LG_RECEIVING,20+_RECEIVING,TD_RECEIVING,ATT_RUSHING,YDS_RUSHING,TD_RUSHING,FL_MISC,G_MISC,FPTS_MISC,FPTS/G_MISC,ROST_MISC,Season,pid,Rank_y,Player Team (Bye),POS,Yahoo,Sleeper,RTSports,AVG
1,Rob Gronkowski (FA),72,120,1176,16.3,76,22,11,0,0,0,0,15,219.6,14.6,1.1%,2015,9721,,,,,,,
2,Jordan Reed (FA),87,114,952,10.9,32,14,11,0,0,0,2,14,200.7,14.3,19.0%,2015,11690,,,,,,,
3,Gary Barnidge (FA),79,125,1043,13.2,40,16,9,0,0,0,0,16,197.8,12.4,0.1%,2015,9226,,,,,,,
4,Delanie Walker (FA),94,133,1088,11.6,61,13,6,1,36,0,0,15,197.4,13.2,0.1%,2015,9172,,,,,,,
5,Greg Olsen (FA),77,124,1104,14.3,52,20,7,0,0,0,1,16,188.9,11.8,7.0%,2015,9238,,,,,,,
6,Tyler Eifert (FA),52,74,615,11.8,31,8,13,0,0,0,0,13,165.5,12.7,0.0%,2015,11692,,,,,,,
7,Benjamin Watson (FA),74,110,825,11.1,46,13,6,0,0,0,1,16,153.5,9.6,2.8%,2015,9040,,,,,,,
8,Travis Kelce (KC),72,103,875,12.2,42,10,5,0,0,0,2,16,153.5,9.6,100.0%,2015,11594,,,,,,,
9,Zach Ertz (ARI),75,112,853,11.4,60,11,2,0,0,0,1,15,132.8,8.9,20.8%,2015,11689,,,,,,,
10,Richard Rodgers (FA),58,85,510,8.8,61,6,8,1,11,0,0,16,131.1,8.2,0.0%,2015,12233,,,,,,,
11,Jason Witten (FA),77,104,713,9.3,35,4,3,0,0,0,1,16,125.8,7.9,0.0%,2015,9275,,,,,,,
12,Antonio Gates (FA),56,85,630,11.3,40,5,5,0,0,0,0,11,121.0,11.0,0.2%,2015,9027,,,,,,,
13,Eric Ebron (FA),47,70,537,11.4,55,5,5,0,0,0,0,14,107.2,7.7,0.0%,2015,12143,,,,,,,
14,Kyle Rudolph (FA),49,73,495,10.1,47,4,5,0,0,0,0,16,104.0,6.5,0.0%,2015,9906,,,,,,,
15,Jacob Tamme (FA),59,81,657,11.1,41,7,1,0,0,0,0,15,101.2,6.7,0.0%,2015,9252,,,,,,,
16,Julius Thomas (FA),46,80,455,9.9,34,5,5,0,0,0,0,12,98.5,8.2,0.0%,2015,9966,,,,,,,
17,Heath Miller (FA),60,81,535,8.9,27,5,2,1,2,0,0,15,97.7,6.5,0.0%,2015,9242,,,,,,,
18,Jimmy Graham (NO),48,74,605,12.6,45,11,2,0,0,0,0,11,96.5,8.8,0.3%,2015,9712,,,,,,,
19,Charles Clay (FA),51,77,528,10.4,40,9,3,0,0,0,0,13,96.3,7.4,0.0%,2015,10003,,,,,,,
